Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Florida State,ACC,13,0,1.000,9,0,1.000,37.0,15.9,18.39,1.93,4,8,3,
2,Louisville,ACC,10,3,.769,7,2,.778,30.9,19.7,11.58,3.20,16,,9,
3,North Carolina State,ACC,9,3,.750,6,2,.750,26.8,20.2,7.82,2.32,19,,19,
4,Georgia Tech,ACC,6,6,.500,5,3,.625,31.2,30.5,3.08,3.16,,,,
5,Virginia Tech,ACC,6,6,.500,5,3,.625,28.6,24.3,4.86,1.61,,,,
6,Clemson,ACC,8,4,.667,4,4,.500,29.2,19.9,10.15,3.65,,9,9,
7,North Carolina,ACC,8,4,.667,4,4,.500,36.6,27.1,7.96,1.54,,21,10,
8,Duke,ACC,7,5,.583,4,4,.500,27.8,19.8,8.75,2.92,,,16,
9,Miami (FL),ACC,7,5,.583,3,5,.375,32.1,22.1,9.34,2.59,,,17,
10,Boston College,ACC,6,6,.500,3,5,.375,25.0,29.5,-3.71,-0.05,,,,
11,Syracuse,ACC,6,6,.500,2,6,.250,25.5,23.8,-0.54,0.05,,,,
12,Pitt,ACC,3,9,.250,2,6,.250,20.2,27.3,-2.99,3.43,,,,
13,Virginia,ACC,3,9,.250,2,6,.250,23.3,33.8,-3.70,4.88,,,,
14,Wake Forest,ACC,4,8,.333,1,7,.125,20.3,27.2,-3.10,2.74,,,,
15,SMU,American,11,2,.846,9,0,1.000,40.6,17.4,9.65,-3.81,17,,17,
16,Tulane,American,11,2,.846,8,1,.889,26.8,18.9,5.84,-2.78,23,24,17,
17,UTSA,American,8,4,.667,7,1,.875,31.7,24.7,2.74,-4.01,,,,
18,Memphis,American,9,3,.750,6,2,.750,39.7,29.0,5.78,-3.30,,,,
19,Rice,American,6,6,.500,4,4,.500,30.3,26.7,-1.81,-2.81,,,,
20,South Florida,American,6,6,.500,4,4,.500,30.8,34.9,-6.85,-4.35,,,,
21,Navy,American,5,6,.455,4,4,.500,18.3,22.9,-5.36,-3.99,,,,
22,North Texas,American,5,7,.417,3,5,.375,34.5,37.1,-6.51,-4.43,,,,
23,Florida Atlantic,American,4,8,.333,3,5,.375,23.8,25.5,-6.73,-4.06,,,,
24,UAB,American,4,8,.333,3,5,.375,29.9,36.9,-9.72,-2.72,,,,
25,Tulsa,American,4,8,.333,2,6,.250,23.4,33.8,-7.37,-2.12,,,,
26,Charlotte,American,3,9,.250,2,6,.250,17.5,28.6,-12.72,-2.72,,,,
27,Temple,American,3,9,.250,1,7,.125,21.1,35.7,-14.19,-3.44,,,,
28,East Carolina,American,2,10,.167,1,7,.125,17.3,22.4,-8.58,-1.00,,,,
29,UCF,Big 12,6,6,.500,3,6,.333,32.5,25.4,3.46,1.05,,,,
30,Houston,Big 12,4,8,.333,2,7,.222,23.7,31.5,-2.31,3.86,,,,
31,Cincinnati,Big 12,3,9,.250,1,8,.111,24.1,30.0,-5.59,1.99,,,,
32,Texas,Big 12,12,1,.923,9,1,.900,36.2,17.5,21.37,6.07,3,11,3,
33,Oklahoma,Big 12,10,2,.833,7,2,.778,43.2,22.3,17.81,4.64,12,20,5,
34,Oklahoma State,Big 12,9,4,.692,7,3,.700,29.5,29.0,6.04,3.96,22,,15,
35,Kansas State,Big 12,8,4,.667,6,3,.667,37.8,21.2,15.74,5.08,,16,15,
36,West Virginia,Big 12,8,4,.667,6,3,.667,31.6,27.5,5.89,2.06,,,,
37,Iowa State,Big 12,7,5,.583,6,3,.667,26.3,21.7,8.56,4.47,,,,
38,Kansas,Big 12,8,4,.667,5,4,.556,33.6,25.8,8.98,3.15,,,19,
39,Texas Tech,Big 12,6,6,.500,5,4,.556,26.8,27.0,5.78,4.62,,,,
40,Texas Christian,Big 12,5,7,.417,3,6,.333,31.3,27.8,6.84,4.92,,17,17,
41,BYU,Big 12,5,7,.417,2,7,.222,23.1,29.8,-0.63,3.96,,,,
42,Baylor,Big 12,3,9,.250,2,7,.222,23.1,33.3,-4.68,3.90,,,,
43,Michigan,Big Ten (East),13,0,1.000,10,0,1.000,36.7,9.5,24.48,4.25,1,2,1,
44,Ohio State,Big Ten (East),11,1,.917,8,1,.889,32.8,11.0,21.59,4.84,7,3,2,
45,Penn State,Big Ten (East),10,2,.833,7,2,.778,37.2,11.4,19.90,3.48,10,7,6,
46,Maryland,Big Ten (East),7,5,.583,4,5,.444,29.6,23.3,8.99,2.99,,,,
47,Rutgers,Big Ten (East),6,6,.500,3,6,.333,22.6,21.0,4.39,4.97,,,,
48,Michigan State,Big Ten (East),4,8,.333,2,7,.222,15.9,28.3,-1.15,6.18,,,,
49,Indiana,Big Ten (East),3,9,.250,1,8,.111,22.2,29.9,-2.13,4.87,,,,
50,Iowa,Big Ten (West),10,3,.769,7,3,.700,16.6,13.2,8.23,3.99,20,25,18,
51,Northwestern,Big Ten (West),7,5,.583,5,4,.556,22.8,23.8,1.94,2.44,,,,
52,Wisconsin,Big Ten (West),7,5,.583,5,4,.556,22.8,18.9,6.13,2.04,,19,19,
53,Illinois,Big Ten (West),5,7,.417,3,6,.333,24.5,29.4,0.00,4.25,,,,
54,Minnesota,Big Ten (West),5,7,.417,3,6,.333,20.2,26.9,0.18,4.68,,,,
55,Nebraska,Big Ten (West),5,7,.417,3,6,.333,18.0,18.3,2.22,2.64,,,,
56,Purdue,Big Ten (West),4,8,.333,3,6,.333,23.9,30.4,-0.09,5.42,,,,
57,Liberty,CUSA,13,0,1.000,9,0,1.000,40.8,22.7,11.19,-5.65,18,,18,
58,New Mexico State,CUSA,10,4,.714,7,2,.778,28.7,21.8,1.32,-5.04,,,,
59,Jacksonville State,CUSA,8,4,.667,6,2,.750,29.8,20.3,1.15,-5.52,,,,
60,Western Kentucky,CUSA,7,5,.583,5,3,.625,29.8,28.2,0.65,-2.43,,,,
61,Middle Tennessee State,CUSA,4,8,.333,3,5,.375,24.3,28.1,-4.98,-1.98,,,,
62,Louisiana Tech,CUSA,3,9,.250,2,6,.250,25.9,33.4,-10.31,-3.22,,,,
63,Sam Houston,CUSA,3,9,.250,2,6,.250,20.0,26.2,-9.44,-3.78,,,,
64,UTEP,CUSA,3,9,.250,2,6,.250,19.9,28.5,-10.45,-2.20,,,,
65,Florida International,CUSA,4,8,.333,1,7,.125,20.1,31.8,-14.49,-4.66,,,,
66,Notre Dame,Ind,9,3,.750,,,,39.1,16.6,15.65,1.65,15,13,9,
67,Army,Ind,5,6,.455,,,,20.8,22.0,-4.23,-3.23,,,,
68,Connecticut,Ind,3,9,.250,,,,19.1,29.8,-9.76,-2.51,,,,
69,Massachusetts,Ind,3,9,.250,,,,23.2,37.8,-11.50,-1.08,,,,
70,Miami (OH),MAC (East),11,2,.846,8,1,.889,26.9,16.2,2.77,-7.39,,,,
71,Ohio,MAC (East),9,3,.750,6,2,.750,22.9,15.4,-1.47,-8.97,,,,
72,Bowling Green,MAC (East),7,5,.583,5,3,.625,26.3,23.5,-1.25,-4.08,,,,
73,Buffalo,MAC (East),3,9,.250,3,5,.375,20.9,27.4,-11.73,-5.57,,,,
74,Akron,MAC (East),2,10,.167,1,7,.125,16.3,28.0,-18.39,-8.14,,,,
75,Kent State,MAC (East),1,11,.083,0,8,.000,14.7,34.6,-22.12,-6.54,,,,
76,Toledo,MAC (West),11,2,.846,8,1,.889,33.6,20.6,3.43,-6.96,,,23,
77,Northern Illinois,MAC (West),6,6,.500,5,3,.625,25.3,21.2,-7.64,-9.47,,,,
78,Eastern Michigan,MAC (West),6,6,.500,4,4,.500,20.3,24.0,-13.07,-9.98,,,,
79,Central Michigan,MAC (West),5,7,.417,3,5,.375,23.2,31.1,-13.01,-6.10,,,,
80,Ball State,MAC (West),4,8,.333,3,5,.375,18.3,24.4,-10.40,-5.15,,,,
81,Western Michigan,MAC (West),4,8,.333,3,5,.375,23.7,31.8,-10.81,-4.39,,,,
82,Boise State,MWC,8,5,.615,7,2,.778,32.9,24.8,5.97,-1.03,,,,
83,San Jose State,MWC,7,5,.583,6,2,.750,33.3,25.8,2.42,-1.58,,,,
84,Nevada-Las Vegas,MWC,9,4,.692,6,3,.667,34.3,27.0,2.94,-3.67,,,,
85,Air Force,MWC,8,4,.667,5,3,.625,27.6,17.9,2.51,-4.65,,,17,
86,Wyoming,MWC,8,4,.667,5,3,.625,26.1,22.9,0.59,-1.82,,,,
87,Fresno State,MWC,8,4,.667,4,4,.500,29.9,24.6,-1.99,-5.90,,,24,
88,Utah State,MWC,6,6,.500,4,4,.500,34.1,33.8,-3.83,-3.50,,,,
89,Colorado State,MWC,5,7,.417,3,5,.375,26.1,29.6,-7.03,-3.78,,,,
90,Hawaii,MWC,5,8,.385,3,5,.375,21.4,32.2,-10.55,-3.47,,,,
91,New Mexico,MWC,4,8,.333,2,6,.250,27.3,35.1,-9.30,-3.30,,,,
92,San Diego State,MWC,4,8,.333,2,6,.250,20.5,26.8,-8.37,-2.70,,,,
93,Nevada,MWC,2,10,.167,2,6,.250,17.3,33.4,-15.83,-3.42,,,,
94,Washington,Pac-12,13,0,1.000,10,0,1.000,37.7,23.6,18.35,5.66,2,10,2,
95,Oregon,Pac-12,11,2,.846,8,2,.800,44.2,17.3,19.10,3.02,8,15,5,
96,Arizona,Pac-12,9,3,.750,7,2,.778,34.3,20.8,12.56,1.39,14,,14,
97,Oregon State,Pac-12,8,4,.667,5,4,.556,33.8,21.5,10.91,3.49,21,18,10,
98,Utah,Pac-12,8,4,.667,5,4,.556,24.5,19.8,7.83,4.50,,14,10,
99,USC,Pac-12,7,5,.583,5,4,.556,41.8,34.9,8.29,5.04,,6,5,
100,UCLA,Pac-12,7,5,.583,4,5,.444,25.8,18.1,5.47,0.97,,,18,
101,California,Pac-12,6,6,.500,4,5,.444,31.6,32.7,3.24,3.74,,,,
102,Washington State,Pac-12,5,7,.417,2,7,.222,31.7,28.1,4.29,3.46,,,13,
103,Arizona State,Pac-12,3,9,.250,2,7,.222,17.8,31.8,-4.25,5.42,,,,
104,Stanford,Pac-12,3,9,.250,2,7,.222,20.6,37.7,-4.90,5.77,,,,
105,Colorado,Pac-12,4,8,.333,1,8,.111,28.2,34.8,0.86,5.11,,,18,
106,Georgia,SEC (East),12,1,.923,8,1,.889,38.4,16.6,18.04,1.81,6,1,1,
107,Missouri,SEC (East),10,2,.833,6,2,.750,34.1,22.3,14.76,3.34,9,,9,
108,Tennessee,SEC (East),8,4,.667,4,4,.500,31.5,22.0,8.72,2.64,25,12,9,
109,Kentucky,SEC (East),7,5,.583,3,5,.375,28.6,24.8,5.17,1.51,,,20,
110,Florida,SEC (East),5,7,.417,3,5,.375,28.4,27.6,3.06,4.06,,,22,
